,,,,,,,,,"Number of I-485 Applications to Register Permanent Residence or Adjust Status by Category of              
Admission, Case Status, and USCIS Field Office or Service Center Location              
January 1 - March 31, 2018  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, Family-based ,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"78,947","68,869","10,410","344,976","30,908","28,336","2,593","162,675","47,211","48,497","1,299","138,599","6,946","6,306","1,062","36,369","164,012","152,008","15,364","682,619",,,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Montgomery , MGA ,486 ,266 ,80 ,"2,564 ",-,38 ,D,476 ,29 ,22 ,-,183 ,D,13 ,D,43 ,517 ,339 ,88 ,"3,266 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Alaska ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
, Anchorage  , ANC ,118 ,69 ,D,347 ,-,D,-,18 ,-,-,D,17 ,-,-,D,-,118 ,76 ,D,382 ,,,,,,,,,,,,,,,,,,,,,,,,,
 Arizona ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
, Phoenix  , PHO ,"1,196 ",666 ,116 ,"5,712 ",-,105 ,D,447 ,193 ,61 ,13 ,625 ,D,11 ,D,36 ,"1,394 ",843 ,134 ,"6,820 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Tucson , TUC ,364 ,400 ,26 ,"1,133 ",D,23 ,-,77 ,D,218 ,-,420 ,-,-,-,D,373 ,641 ,26 ,"1,635 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Arkansas ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
, Fort Smith  , FSA ,153 ,140 ,21 ,514 ,-,45 ,-,92 ,D,170 ,-,65 ,D,D,-,18 ,157 ,357 ,21 ,689 ,,,,,,,,,,,,,,,,,,,,,,,,,
 California ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
, Chula Vista , CVC ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
, Fresno  , FRE ,768 ,875 ,97 ,"2,811 ",-,33 ,D,120 ,D,10 ,-,38 ,D,D,-,31 ,776 ,924 ,101 ,"3,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Imperial , IMP ,94 ,132 ,D,185 ,-,D,-,D,D,D,D,14 ,-,-,-,D,95 ,141 ,D,209 ,,,,,,,,,,,,,,,,,,,,,,,,,
, Los Angeles  , LOS ,"2,071 ","1,759 ",179 ,"7,082 ",-,376 ,26 ,"1,497 ",17 ,62 ,D,185 ,55 ,58 ,11 ,245 ,"2,143 ","2,255 ",218 ,"9,009 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Los Angeles County  , LAC ,"1,936 ","1,008 ",538 ,"8,786 ",-,76 ,D,935 ,31 ,44 ,20 ,287 ,10 ,D,D,58 ,"1,977 ","1,137 ",569 ,"10,066 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Sacramento  , SAC ,889 ,880 ,110 ,"3,411 ",-,53 ,-,256 ,12 ,23 ,D,121 ,D,D,D,26 ,910 ,961 ,120 ,"3,814 ",,,,,,,,,,,,,,,,,,,,,,,,,
