,,,,,,,,,"Number of I-485 Applications to Register Permanent Residence or Adjust Status by Category of              
Admission, Case Status, and USCIS Field Office or Service Center Location              
October 1 - December 31, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,
,,, Family-based ,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"82,888","69,630","11,841","376,383","27,893","33,181","1,543","154,616","21,908","33,011","1,614","89,630","9,482","5,096",987,"32,093","142,171","140,918","15,985","652,722",,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Montgomery , MGA , 547 , 589 , 136 ," 2,088 ", 109 , 240 , D , 573 , 10 , 43 , D , 49 , 11 , D , D , 37 , 677 , 875 , 142 ," 2,747 ",,,,,,,,,,,,,,,,,,,,,
Alaska,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,
, Anchorage  , ANC , 135 , 88 , 10 , 354 , D , 23 , -   , 45 , -   , D , -   , 15 , -   , -   , -   , -   , 143 , 112 , 10 , 414 ,,,,,,,,,,,,,,,,,,,,,
