Number of I-485 Applications to Register Permanent Residence or Adjust Status,,,,,,,,,,,,,,,,,,,,,,
"By Category, Case Status, and USCIS Field Office or Service Center Location",,,,,,,,,,,,,,,,,,,,,,
"July 1 - September 30, 2021",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,, Total ,,,
,,, Family-based ,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
   ,,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"84,943","67,653","11,402","349,350","45,897","86,704","2,225","245,490","13,710","12,186","1,081","127,841","11,898","10,073","1,845","47,747","156,448","176,616","16,553","770,428"
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,,,,,,,,,
, Montgomery , MGA ,560,517,59,"2,614",147,456, D ,396,28, D , D ,200,78,43, D ,116,813,"1,023",74,"3,326"
 Alaska ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Anchorage  , ANC ,74,80,13,283, D ,174, D ,45, D , -   , -   ,36, -   , D , -   , D ,86,255,15,366
 Arizona ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Phoenix  , PHO ,"1,455",898,117,"4,078",269,120, D ,625,141,28, D ,921,20,21, -   ,69,"1,885","1,067",131,"5,693"
, Tucson , TUC ,490,562,44,"1,395",49,"1,000", D ,397,71,10, -   ,345, D , D , -   ,15,612,"1,580",52,"2,152"
