,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of I-485 Applications to Register Permanent Residence or Adjust Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"By Category, Case Status, and USCIS Field Office or Service Center Location",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"July 1, 2022 - September 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Family-based1,,,,Employment-based received at service center2,,,,Humanitarian-based3,,,,Others4,,,, Total ,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,,,,,,,,,,,,,,,,,,,
,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"92,386","30,721","8,931","441,992","38,177","82,970","5,918","191,190","13,380","25,169","1,584","42,666","8,365","8,797",962,"47,892","152,308","147,657","17,395","723,740",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Montgomery , MGA , 580 , 214 , 57 ," 3,292 ", 144 , 302 , D ," 1,073 ", 26 , 610 , D , 920 , 14 , 29 , D , 124 , 764 ," 1,155 ", 71 ," 5,409 ",,,,,,,,,,,,,,,,,,,
 Alaska ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Anchorage  , ANC , 61 , 112 , D , 430 , D , 20 , D , D , -   , D , -   , D , D , -   , -   , D , 65 , 133 , 11 , 443 ,,,,,,,,,,,,,,,,,,,
 Arizona ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
, Phoenix  , PHO ," 1,636 ", 247 , 63 ," 6,288 ", 251 ," 2,144 ", 56 ," 2,610 ", 144 , 47 , D , 188 , D , 18 , -   , 109 ," 2,037 "," 2,456 ", 125 ," 9,195 ",,,,,,,,,,,,,,,,,,,
, Tucson , TUC , 418 , 129 , 32 ," 2,049 ", 73 ," 2,026 ", 42 ," 1,109 ", 45 , 51 , D , 32 , D , D , D , 28 , 542 ," 2,209 ", 84 ," 3,218 ",,,,,,,,,,,,,,,,,,,
 Arkansas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,
