Number of I-485 Applications to Register Permanent Residence or Adjust Status,,,,,,,,,,,,,,,,,,,,,,
"By Category, Case Status, and USCIS Field Office or Service Center Location",,,,,,,,,,,,,,,,,,,,,,
"January 1, 2023 - March 31, 2023",,,,,,,,,,,,,,,,,,,,,,
,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,
,,,Family-based1,,,, Employment-based received at service center2,,,,Humanitarian-based3,,,,Others4,,,, Total ,,,
 USCIS Field Office or Service Center Location ,,,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8
 Total ,,,"95,800","97,768","6,537","489,835","34,584","33,932","3,528","202,006","34,705","20,115","1,456","113,922","9,879","7,682",668,"46,165","174,968","159,497","12,189","851,928"
Field Office by State9,,,,,,,,,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,,,,,,,,,
, Montgomery , MGA ,598,753,45,"4,023",147,338, D ,"1,165",93,279, D ,820, D , D , -   ,25,843,"1,376",57,"6,033"
 Alaska ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Anchorage  , ANC ,59,201, D ,332, D ,93, D ,183,21, -   , -   ,144, D , -   , D ,27,88,294,10,686
 Arizona ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Phoenix  , PHO ,"2,062","1,996",200,"6,951",425,617,63,"2,591",334,154,28,"1,261",82,52,13,234,"2,903","2,819",304,"11,037"
, Tucson , TUC ,"1,306",895,50,"2,744",197,"1,077",30,591,"2,414",344,51,330,48,42, -   ,52,"3,965","2,358",131,"3,717"
 Arkansas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Fort Smith  , FSA ,210,369,10,"1,162",34,42, D ,377,25,238, D ,176, -   , D , -   , D ,269,656,19,"1,716"
 California ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Chula Vista , CVC , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
, Fresno  , FRE ,952,"1,988",35,"5,098",45,745,28,"1,337",302,67, D ,"1,698",21,30, D ,62,"1,320","2,830",70,"8,195"
, Imperial , IMP ,180,273, D ,755, D ,314,12,474, D ,37, -   ,102, -   , -   , -   , D ,192,624,18,"1,333"
, Los Angeles  , LOS ,"1,768","2,385",130,"7,425",460,880,100,"4,226",317,240,11,"1,494",36, D , D ,138,"2,581","3,514",248,"13,283"
, Los Angeles County  , LAC ,"1,697","2,222",321,"6,775",153,"1,513",94,"2,869",279,505,34,"1,350",19,21, -   ,46,"2,148","4,261",449,"11,040"
, Sacramento  , SAC ,"1,378","1,644",52,"5,131",298,734,49,"2,542",188,72, D ,"2,786", D ,21, D ,"1,428","1,873","2,471",111,"11,887"
