Number of I-485 Applications to Register Permanent Residence or Adjust Status,,,,,,,,,,,,,,,,,,,,,
"By Category, Case Status, and USCIS Field Office or Service Center Location",,,,,,,,,,,,,,,,,,,,,
"April 1, 2023 - June 30, 2023",,,,,,,,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,Applications by Category of Admission and Case Status,,,,,,,,,,,,,,,,,,,
,,Family-based1,Family-based1,Family-based1,Family-based1,Employment-based received at service center2,Employment-based received at service center2,Employment-based received at service center2,Employment-based received at service center2,Humanitarian-based3,Humanitarian-based3,Humanitarian-based3,Humanitarian-based3,Others4,Others4,Others4,Others4,Total,Total,Total,Total
Field Office by State9,Field Office Code,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6, Denied7, Pending8
Total,,"108,045","98,203","10,685","479,922","24,580","31,920","3,676","189,295","76,517","25,758","1,431","162,035","10,427","9,615",757,"46,067","219,569","165,496","16,549","877,319"
Alabama,,,,,,,,,,,,,,,,,,,,,
Montgomery,MGA,707,"1,280",58,"4,056",66,180,D,"1,167",275,175,D,804,D,D,D,33,"1,057","1,636",66,"6,060"
Alaska,,,,,,,,,,,,,,,,,,,,,
Anchorage ,ANC,79,106,D,281,D,172,13,166,D,77,D,351,D,-,-,28,95,355,25,826
Arizona,,,,,,,,,,,,,,,,,,,,,
Phoenix ,PHO,"1,578","1,890",107,"6,318",90,235,18,"2,325","1,203",16,D,"2,163",104,D,-,314,"2,975","2,144",129,"11,120"
Tucson,TUC,665,998,53,"2,488",29,292,D,583,150,10,-,345,12,D,-,47,856,"1,305",62,"3,463"
Arkansas,,,,,,,,,,,,,,,,,,,,,
Fort Smith ,FSA,236,417,22,"1,228",52,75,D,432,18,30,10,109,-,D,-,D,306,523,38,"1,770"
California,,,,,,,,,,,,,,,,,,,,,
Chula Vista,CVC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fresno ,FRE,"1,124","1,244",67,"4,572",36,795,32,709,400,431,11,"1,465",53,D,-,101,"1,613","2,477",110,"6,847"
Imperial,IMP,238,205,D,952,D,268,13,250,D,64,-,36,D,-,-,D,245,537,21,"1,239"
Los Angeles ,LOS,"2,038","1,601",149,"7,595",335,"1,597",99,"3,898",515,937,24,"2,574",33,35,D,125,"2,921","4,170",279,"14,192"
Los Angeles County ,LAC,"2,018","1,567","1,191","7,324",90,"2,845",146,"2,536",383,"2,450",39,"2,170",13,21,D,42,"2,504","6,883","1,377","12,072"
Sacramento ,SAC,"1,132","1,122",75,"5,081",80,384,24,"2,488",833,227,19,"2,915",335,109,19,"1,713","2,380","1,842",137,"12,197"
San Bernardino,SBD,"1,907","2,094",206,"7,590",81,670,53,"1,829",271,213,15,899,D,11,D,69,"2,268","2,988",277,"10,387"
San Diego ,SND,"1,507",683,50,"6,553",209,325,10,"2,672",295,31,D,921,241,95,D,627,"2,252","1,134",62,"10,773"
San Fernando Valley,SFV,"1,438","1,051","1,031","5,883",90,"1,873",89,"2,754",273,735,31,"2,146",29,13,D,78,"1,830","3,672","1,154","10,861"
San Francisco,SFR,"2,225","2,113",102,"8,301",746,800,27,"7,735","1,090",224,D,"3,790",49,47,-,202,"4,110","3,184",135,"20,028"
San Jose ,SNJ,"1,359","1,760",113,"5,734",870,"1,558",114,"8,907",278,666,14,"1,604",11,18,-,44,"2,518","4,002",241,"16,289"
Santa Ana,SAA,"1,458","1,266",77,"6,033",236,"1,024",53,"2,420",271,74,13,815,21,31,D,51,"1,986","2,395",145,"9,319"
Colorado,,,,,,,,,,,,,,,,,,,,,
Denver ,DEN,"1,564","1,397",88,"6,660",108,85,23,"1,164",495,307,32,"1,392",152,138,D,327,"2,319","1,927",149,"9,543"
Connecticut,,,,,,,,,,,,,,,,,,,,,
Hartford ,HAR,"1,083","1,131",82,"4,758",158,242,38,"1,353",147,127,10,657,26,22,D,122,"1,414","1,522",131,"6,890"
Delaware,,,,,,,,,,,,,,,,,,,,,
Dover,DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
District of Columbia,,,,,,,,,,,,,,,,,,,,,
