Number of I-485 Applications to Register Permanent Residence or Adjust Status,,,,,,,,,,,,,,,,,,,,,
"By Category, Case Status, and USCIS Field Office or Service Center Location",,,,,,,,,,,,,,,,,,,,,
"July 1, 2023 - September 30, 2023",,,,,,,,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,Applications by Category of Admission and Case Status,,,,,,,,,,,,,,,,Total,,,
,,Family-based1,,,,Employment-based received at service center2,,,,Humanitarian-based3,,,,Others4,,,,,,,
Field Office by State9,Field Office Code,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6, Denied7, Pending8
Total,,"115,293","87,115","11,902","499,765","17,858","30,091","4,448","171,697","79,219","37,774","2,204","198,404","9,267","8,804","1,137","45,229","221,637","163,784","19,691","915,095"
Alabama,,,,,,,,,,,,,,,,,,,,,
Montgomery,MGA,884,"1,074",35,"3,746",59,241,14,867,300,98, D ,745, D , D , D ,30,"1,247","1,416",57,"5,388"
Alaska,,,,,,,,,,,,,,,,,,,,,
Anchorage ,ANC,89,44, D ,309, - ,230,16,84, D ,108, D ,335, D , D , - ,30,95,384,32,758
Arizona,,,,,,,,,,,,,,,,,,,,,
Phoenix ,PHO,"1,568","1,424",146,"6,496",119,348,24,"1,976","1,143",23, D ,"3,069",62,40, D ,337,"2,892","1,835",180,"11,878"
Tucson,TUC,703,"1,323",68,"2,145",33,440,18,183,188,12, D ,457, D ,13, D ,30,927,"1,788",89,"2,815"
Arkansas,,,,,,,,,,,,,,,,,,,,,
Fort Smith ,FSA,210,400,23,982,33,377,11,470,35, D , D ,123, D , - , - , D ,280,781,37,"1,578"
California,,,,,,,,,,,,,,,,,,,,,
Chula Vista,CVC, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Fresno ,FRE,"1,081","1,675",83,"4,270",14,312,22,430,483,357,27,"1,519",17, D , - ,112,"1,595","2,353",132,"6,331"
Imperial,IMP,200,561, D ,915, D ,72, D ,60, D ,18, D ,27, - , - , D , D ,206,651,18,"1,003"
Los Angeles ,LOS,"1,912","1,512",155,"7,310",336,"1,217",156,"2,304",593,864,14,"2,720",25,27,22,83,"2,866","3,620",347,"12,417"
Los Angeles County ,LAC,"1,876","2,278","1,425","7,310",76,"1,577",104,"1,482",454,863,90,"1,815",14,42, D ,36,"2,420","4,760","1,623","10,643"
Sacramento ,SAC,"1,162",882,140,"5,325",118,461,73,"2,135",947,101,26,"3,266",245,295,36,"1,643","2,472","1,739",275,"12,369"
San Bernardino,SBD,"1,785","2,681",314,"6,066",50,412,104,746,342,102,16,910, D ,10, D ,66,"2,184","3,205",439,"7,788"
San Diego ,SND,"1,412","2,012",119,"5,528",170,384,43,"2,253",464,70, D ,"1,195",172,190,16,604,"2,218","2,656",181,"9,580"
San Fernando Valley,SFV,"1,433","1,131","1,467","6,639",100,"1,280",158,"1,239",308,"1,054",47,"1,603",28,15,28,57,"1,869","3,480","1,700","9,538"
San Francisco,SFR,"2,381","1,635",99,"8,178",661,949,66,"7,612","1,064",178,15,"4,059",19,38,10,172,"4,125","2,800",190,"20,021"
San Jose ,SNJ,"1,424","2,096",157,"5,476",732,"1,735",102,"7,709",310,"1,300",44,"1,661", D , D , D ,44,"2,475","5,140",305,"14,890"
Santa Ana,SAA,"1,504","2,522",190,"5,091",163,474,66,"1,746",311,48,11,946,21,27,10,35,"1,999","3,071",277,"7,818"
Colorado,,,,,,,,,,,,,,,,,,,,,
Denver ,DEN,"1,599","1,015",129,"7,356",136,88,17,"1,246",631,219,39,"1,546",125,112,15,327,"2,491","1,434",200,"10,475"
Connecticut,,,,,,,,,,,,,,,,,,,,,
Hartford ,HAR,"1,145","1,006",128,"4,460",139,157,25,"1,349",153,366,41,693,28,23, D ,135,"1,465","1,552",197,"6,637"
Delaware,,,,,,,,,,,,,,,,,,,,,
Dover,DVD, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
District of Columbia,,,,,,,,,,,,,,,,,,,,,
Washington ,WAS,"1,761",454,71,"9,466",206,182,17,"3,302",856,59,23,"2,435",216,255,36,"1,481","3,039",950,147,"16,684"
Florida,,,,,,,,,,,,,,,,,,,,,
Hialeah,HIA,949,"2,617",158,"4,331",119,700,74,"1,121","8,865","4,655",161,"20,151", - , D , D ,28,"9,933","7,975",395,"25,631"
Jacksonville,JAC,742,726,45,"2,953",48,113, D ,977,989,35,10,"2,718",23, D , - ,148,"1,802",875,64,"6,796"
Kendall,KND,883,"1,316",104,"3,379",63,182,32,378,"9,912","5,869",50,"20,068", D , D , - ,27,"10,859","7,368",186,"23,852"
Miami ,MIA,"1,521",197,81,"5,630",196,366,36,"1,465","4,724","1,774",53,"12,072",24, D ,19,78,"6,465","2,346",189,"19,245"
