,,,,,,,,,,,,,,,,
Number of Form N-400 Application for Naturalization,,,,,,,,,,,,,,,,
"By Category of Naturalization, Case Status, and USCIS Field Office Location",,,,,,,,,,,,,,,,
"April 1, 2022 - June 30, 2022",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,           Applications by Category and Case Status ,,,,,,,,,
,,,,               Naturalization1,,,,   Naturalization (Military)1,,,,                    Total ,,,,
 USCIS Field Office Location ,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,
,,,,,,,,,,,,,,,,
 TOTAL ,,," 196,952 "," 245,528 "," 26,371 "," 666,473 "," 2,432 "," 2,531 ", 203 ," 6,312 "," 199,384 "," 248,059 "," 26,574 "," 672,785 ",,
Field Office by State6,, Field Office Code ,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,,,
, Montgomery , MGA ," 1,043 "," 2,577 ", 43 ," 3,478 ", 52 , 23 , -   , 142 ," 1,095 "," 2,600 ", 43 ," 3,620 ",,
 Alaska ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Anchorage  , ANC , 239 , 283 , 44 , 742 , 26 , 21 , D , 58 , 265 , 304 , 48 , 800 ,,
 Arizona ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Phoenix  , PHO ," 2,772 "," 3,674 ", 408 ," 6,470 ", 14 , 16 , -   , 36 ," 2,786 "," 3,690 ", 408 ," 6,506 ",,
, Tucson , TUC , 567 , 571 , 69 ," 1,692 ", D , D , D , 25 , 572 , 576 , 70 ," 1,717 ",,
 Arkansas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Fort Smith  , FSA , 343 , 392 , 19 ," 1,002 ", D , D , -   , D , 345 , 395 , 19 ," 1,008 ",,
 California ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Chula Vista , CVC , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
, Fresno  , FRE ," 2,080 "," 3,069 ", 377 ," 8,746 ", 21 , 27 , D , 47 ," 2,101 "," 3,096 ", 379 ," 8,793 ",,
, Imperial , IMP , 330 , D , 40 ," 1,480 ", D , -   , D , D , 335 , D , 41 ," 1,486 ",,
, Los Angeles  , LOS ," 4,160 "," 5,020 ", 616 ," 10,543 ", 13 , 13 , -   , 32 ," 4,173 "," 5,033 ", 616 ," 10,575 ",,
, Los Angeles County  , LAC ," 3,507 "," 3,733 ", 890 ," 9,291 ", 19 , 18 , D , 30 ," 3,526 "," 3,751 ", 891 ," 9,321 ",,
, Sacramento  , SAC ," 3,837 "," 4,578 ", 361 ," 16,471 ", 24 , 21 , D , 77 ," 3,861 "," 4,599 ", 363 ," 16,548 ",,
, San Bernardino , SBD ," 3,141 "," 4,964 ", 844 ," 9,711 ", 32 , 34 , D , 63 ," 3,173 "," 4,998 ", 850 ," 9,774 ",,
, San Diego  , SND ," 3,040 "," 3,841 ", 441 ," 10,784 ", 116 , 135 , D , 295 ," 3,156 "," 3,976 ", 449 ," 11,079 ",,
, San Fernando Valley , SFV ," 3,091 "," 3,454 ", 429 ," 7,800 ", 17 , D , -   , 32 ," 3,108 "," 3,463 ", 429 ," 7,832 ",,
, San Francisco , SFR ," 5,677 "," 7,708 ", 241 ," 24,081 ", 17 , 19 , D , 50 ," 5,694 "," 7,727 ", 244 ," 24,131 ",,
, San Jose  , SNJ ," 3,075 "," 4,609 ", 380 ," 14,413 ", 10 , D , D , 53 ," 3,085 "," 4,614 ", 382 ," 14,466 ",,
, Santa Ana , SAA ," 3,599 "," 5,156 ", 610 ," 10,435 ", 16 , 15 , -   , 32 ," 3,615 "," 5,171 ", 610 ," 10,467 ",,
 Colorado ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
, Denver  , DEN ," 2,384 "," 2,478 ", 371 ," 7,033 ", 34 , 43 , D , 112 ," 2,418 "," 2,521 ", 374 ," 7,145 ",,
 Connecticut ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,
