Number of Form N-400 Application for Naturalization,,,,,,,,,,,,,,
"By Category of Naturalization, Case Status, and USCIS Field Office Location",,,,,,,,,,,,,,
"January 1, 2023 - March 31, 2023",,,,,,,,,,,,,,
,,,           Applications by Category and Case Status ,,,,,,,,,,,
,,,               Naturalization1,,,,   Naturalization (Military)1,,,,                    Total ,,,
 USCIS Field Office Location ,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
 TOTAL ,,,"217,159","214,040","27,065","452,018","3,323","2,987",396,"6,858","220,482","217,027","27,461","458,876"
Field Office by State6,, Field Office Code ,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,
, Montgomery , MGA ,"1,250","1,605",94,"1,849",53,56, D ,131,"1,303","1,661",96,"1,980"
 Alaska ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Anchorage  , ANC ,272,180,23,630,11,21,12,56,283,201,35,686
 Arizona ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Phoenix  , PHO ,"2,852","2,568",224,"5,176",18,17, D ,28,"2,870","2,585",226,"5,204"
, Tucson , TUC ,661,583,49,"1,050",12, D , D ,23,673,589,50,"1,073"
 Arkansas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Fort Smith  , FSA ,436,257,25,774, -   , D , -   , D ,436,258,25,776
 California ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Chula Vista , CVC , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
, Fresno  , FRE ,"2,436","1,761",264,"4,739",20,16, D ,61,"2,456","1,777",266,"4,800"
, Imperial , IMP ,337,308,77,842, D ,11, -   , D ,343,319,77,850
, Los Angeles  , LOS ,"4,077","3,653",448,"8,369",28,20, D ,35,"4,105","3,673",452,"8,404"
, Los Angeles County  , LAC ,"3,653","3,323",775,"7,051",37,13, D ,40,"3,690","3,336",776,"7,091"
, Sacramento  , SAC ,"3,741","2,917",552,"9,517",45,28, D ,97,"3,786","2,945",557,"9,614"
, San Bernardino , SBD ,"3,456","3,980",571,"6,369",58,35, D ,68,"3,514","4,015",580,"6,437"
, San Diego  , SND ,"3,112","2,533",396,"8,055",84,72,11,314,"3,196","2,605",407,"8,369"
, San Fernando Valley , SFV ,"3,117","3,760",349,"6,099", D ,13, D ,60,"3,126","3,773",353,"6,159"
, San Francisco , SFR ,"6,476","6,686",394,"14,188",29,18, D ,65,"6,505","6,704",399,"14,253"
, San Jose  , SNJ ,"3,817","3,613",226,"7,508",12, D , D ,55,"3,829","3,620",227,"7,563"
, Santa Ana , SAA ,"3,518","3,436",489,"8,066",29,16, D ,25,"3,547","3,452",491,"8,091"
 Colorado ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Denver  , DEN ,"2,934","3,724",341,"5,477",48,51, D ,119,"2,982","3,775",345,"5,596"
 Connecticut ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Hartford  , HAR ,"2,748","2,221",332,"5,919",25,22, D ,63,"2,773","2,243",336,"5,982"
 Delaware ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Dover AFB , DVD , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 District of Columbia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Washington  , WAS ,"4,806","4,188",313,"10,937",42,47, D ,114,"4,848","4,235",315,"11,051"
 Florida ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Fort Meyers , OFM ,"1,597","1,188",168,"3,650",11, D , D ,16,"1,608","1,194",171,"3,666"
, Hialeah , HIA ,"3,172","2,861",373,"4,227",11, D , D ,27,"3,183","2,870",375,"4,254"
, Jacksonville , JAC ,"1,420","1,406",87,"3,463",22,23, D ,42,"1,442","1,429",90,"3,505"
, Kendall , KND ,"3,212","2,647",373,"5,298",24, D , -   ,28,"3,236","2,650",373,"5,326"
, Miami  , MIA ,"3,130","2,386",415,"7,413",15, D , D ,21,"3,145","2,395",417,"7,434"
