Number of Form N-400 Application for Naturalization,,,,,,,,,,,,,
"By Category of Naturalization, Case Status, and USCIS Field Office Location",,,,,,,,,,,,,
"April 1, 2023 - June 30, 2023",,,,,,,,,,,,,
,,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status
USCIS Field Office Location,USCIS Field Office Location,Naturalization1,Naturalization2,Naturalization3,Naturalization4,Naturalization (Military)1,Naturalization (Military)2,Naturalization (Military)3,Naturalization (Military)4, Total , Total , Total , Total 
Field Office by State6,Field Office Code,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
TOTAL,,"201,615","188,607","22,562","433,486","4,004","3,161",345,"7,127","205,619","191,768","22,907","440,613"
Alabama,,,,,,,,,,,,,
Montgomery,MGA,"1,093","1,219",55,"1,765",41,29, D ,192,"1,134","1,248",59,"1,957"
Alaska,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Anchorage ,ANC,225,260,19,577, D ,29, D ,46,228,289,24,623
Arizona,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Phoenix ,PHO,"2,683","2,428",218,"5,178",13,12, -   ,31,"2,696","2,440",218,"5,209"
Tucson,TUC,712,484,32,"1,256", D , D , D ,23,715,490,33,"1,279"
Arkansas,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Fort Smith ,FSA,334,243,19,689, D , -   , -   ,10,343,243,19,699
California,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Chula Vista,CVC, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Fresno ,FRE,"2,461","2,051",149,"5,043",12,16, D ,57,"2,473","2,067",158,"5,100"
Imperial,IMP,347,318,92,780, D , D , D , D ,350,323,93,785
Los Angeles ,LOS,"3,990","4,176",368,"7,895", D ,15, D ,28,"3,996","4,191",369,"7,923"
Los Angeles County ,LAC,"3,750","3,162",683,"6,767",24,16, D ,35,"3,774","3,178",687,"6,802"
Sacramento ,SAC,"3,417","3,092",776,"8,322",36,27, D ,98,"3,453","3,119",779,"8,420"
San Bernardino,SBD,"3,246","3,413",394,"5,719",50,39, D ,59,"3,296","3,452",398,"5,778"
San Diego ,SND,"3,049","4,116",704,"6,361",93,115,28,280,"3,142","4,231",732,"6,641"
San Fernando Valley,SFV,"3,053","3,651",302,"5,439",27,14, D ,60,"3,080","3,665",308,"5,499"
San Francisco,SFR,"6,184","5,686",437,"13,774",13,14, D ,55,"6,197","5,700",441,"13,829"
San Jose ,SNJ,"3,577","3,673",194,"6,887",11,27, D ,30,"3,588","3,700",199,"6,917"
Santa Ana,SAA,"3,566","3,905",437,"7,285",20,16, -   ,24,"3,586","3,921",437,"7,309"
