Number of Form N-400 Application for Naturalization,,,,,,,,,,,,,
"By Category of Naturalization, Case Status, and USCIS Field Office Location",,,,,,,,,,,,,
"July 1, 2023 - September 30, 2023",,,,,,,,,,,,,
,,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status,Applications by Category and Case Status
USCIS Field Office Location,USCIS Field Office Location,Naturalization1,Naturalization1,Naturalization1,Naturalization1,Naturalization (Military)1,Naturalization (Military)1,Naturalization (Military)1,Naturalization (Military)1, Total , Total , Total , Total 
Field Office by State6,Field Office Code,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
TOTAL,,"209,475","228,749","22,294","400,908","3,997","3,526",445,"7,126","213,472","232,275","22,739","408,034"
Alabama,,,,,,,,,,,,,
Montgomery,MGA,"1,141","1,709",29,"2,023",44,80,20,173,"1,185","1,789",49,"2,196"
Alaska,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Anchorage ,ANC,235,411,25,385, D ,30, D ,45,244,441,28,430
Arizona,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Phoenix ,PHO,"2,822","2,837",222,"4,995",14, D , D ,41,"2,836","2,843",223,"5,036"
Tucson,TUC,652,627,56,"1,213", D , D , D ,25,655,629,58,"1,238"
Arkansas,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Fort Smith ,FSA,362,536,29,620,12, D , -   ,10,374,539,29,630
California,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
Chula Vista,CVC, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Fresno ,FRE,"2,561","2,359",212,"4,986",12,16, D ,62,"2,573","2,375",214,"5,048"
Imperial,IMP,407,385,86,713, D , D , -   , D ,410,390,86,719
Los Angeles ,LOS,"4,198","4,386",389,"7,330", D ,16, D ,26,"4,206","4,402",390,"7,356"
Los Angeles County ,LAC,"3,936","3,797",601,"6,664",24,10, D ,26,"3,960","3,807",606,"6,690"
Sacramento ,SAC,"3,915","4,879",593,"7,653",36,20, D ,111,"3,951","4,899",596,"7,764"
San Bernardino,SBD,"3,536","2,085",342,"6,549",54,28, D ,66,"3,590","2,113",351,"6,615"
San Diego ,SND,"3,332","3,339",406,"6,325",108,148,23,237,"3,440","3,487",429,"6,562"
San Fernando Valley,SFV,"3,067","3,169",359,"5,015",33,28, D ,47,"3,100","3,197",366,"5,062"
San Francisco,SFR,"6,392","7,358",445,"12,806",13, D , -   ,62,"6,405","7,365",445,"12,868"
San Jose ,SNJ,"3,798","3,671",293,"7,004",12,14, D ,12,"3,810","3,685",296,"7,016"
Santa Ana,SAA,"3,991","3,574",415,"7,312",23,15, D ,27,"4,014","3,589",419,"7,339"
